Arabic,English
بالتأكيد,certainly
لأن,because
لديه,He has
لنا,for us
خلال,during
ظ,D
بشكل,In a way
العالم,the world
فحسب,Only
حال,State
الذهاب,Go
عليها,On it
بـ,B
أعني,namely
فعلت,I did
قال,He said
هم,they
المنزل,the home
عنه,About him
ها,Ha
بشأن,about
أفعل,I do
أكون,I am
اللعنة,the curse
للغاية,extremely
فيه,In it
بين,between
أننا,We
منك,From you
وهذا,This
لكِ,for you
جيدة,Good
يعني,It means
مجرد,merely
أظن,I think
انك,You are
مني,Mona
أنّ,that
بالنسبة,with regards
الأمور,Things
فكرة,an idea
أم,or
متى,when
الشيء,The thing
المال,the money
كنا,We were
أقول,I say
عمل,a job
أبداً,never
ستكون,It will be
عليّ,on
أيّ,any
أمر,commander
تقول,She says
توقف,to stop
هؤلاء,these
السيد,Mr.
انظر,Look
لما,when
منه,From him
الطريق,The road
أشعر,I feel
حصلت,I got it
الحياة,life
أني,that I
نفس,same
معه,With him
بحاجة,Need
بسبب,because of
الذين,who
تستطيع,You can
بأس,Bad
اي,any
بدون,without
لكم,your
تبدو,Looks like
أرى,Show
الجحيم,Hell
تكن,Be
اعتقد,I believe
عند,when
آسفة,sorry
حيث,where
دائماً,always
وأنت,And you
تحت,under
حسنًا,Good
تعال,Come here
بالفعل,actually
بل,but rather
فضلك,Please
الأشياء,things
ليلة,Night
نفسك,yourself
لكي,in order to
تعتقد,You think
وهو,And he is
بحق,Truly
مشكلة,problem
شيئا,something
أرجوك,Please
أذهب,Go
يريد,He wants
تماماً,completely
الـ,The
الوحيد,only
قتل,killing
إنهم,They are
الشخص,The person
رأيت,I saw
عزيزتي,My dear
طوال,throughout
بهذه,With this
الشرطة,Police
الأن,now
أحب,I love
الذى,that
أيضا,also
بنا,Built
أردت,I wanted
أكن,I was
كلّ,all
النار,fire
سمعت,I heard
اجل,Okay
جميع,all
أَنْ,that
قليلاً,a little
مالذي,What?
بأنه,That he is
والآن,And now
إلي,to
انتظر,I am waiting
فتاة,girl
كبير,big
يعرف,He knows
او,or
فيها,In it
حسنٌ,Good
الرجال,men
اريد,I want
لأنه,Because
السبب,the reason
سنوات,years
الباب,The door
نذهب,We go
دون,Without
حياتي,my life
لابد,It must
السيارة,The car
تريدين,You want
خارج,outside
ومن,And
ثلاثة,three
فعله,He did it
تذهب,go
كانوا,They were
اذهب,Go
الحصول,Get
يقول,He says
الواقع,reality
كثيراً,a lot
اعرف,I know
أنهم,They are
سبب,a reason
كبيرة,big
مما,Which
أحتاج,I need
قمت,I did
إنّه,that it
منها,From it
كنتُ,I was
للتو,Just now
استطيع,I can
نوع,type
هنالك,there
تعرفين,You know
جميلة,beautiful
بكل,With all
دولار,dollar
بأنك,That you
لأنني,Because I
الأفضل,The best
دائما,always
جديد,new
الامر,The matter
اين,where
بالضبط,exactly
جون,John
دعنا,Let's
أنظر,Look
المدينة,The city
الخاص,private
تعلمين,You know
جميل,Beautiful
بسرعة,quickly
الأرض,the earth
لحظة,moment
الطريقة,The method
طريقة,road
رائعة,amazing
سعيد,happy
دقيقة,minute
لكنه,But he
غرفة,room
إليه,To him
التحدث,speaking
ثانية,second
دعني,Let me
لكنني,But I
الفتاة,The girl
لمَ,did not
ولم,And did not
أنتم,you all
عظيم,great
انهم,They are
اوه,Oh
جيداً,well
لديّ,I have
بينما,while
نفسي,myself
إليك,Here you go
قام,He did
لديها,She has
عام,general
اعلم,Know
يعمل,He works
سأكون,I will be
عيد,holiday
رفاق,comrades
ألم,pain
لهم,to them
تعمل,It works
تتحدث,talking
القيام,Doing
الله,God
ساعة,hour
المرة,time
هيّا,Let's go
ترى,You see
مهلاً,Wait
جاك,Jack
أنتَ,You
الخير,Good
متأكد,sure
جميعاً,All of them
أحاول,I'm trying
شيئ,something
الموت,death
رقم,number
منهم,Of them
سيارة,car
مجدداً,again
ايها,Hey
عنك,About you
يفعل,He does
فقد,Lost
ذهبت,I went
المزيد,More
أتمنى,I hope
مات,He died
يتم,It is done
لكني,But I
طريق,road
وجدت,I found
وقد,And
أول,first
معها,With her
سعيدة,Happy
لدى,I have
أقصد,I mean
إلا,unless
صباح,morning
الرئيس,President
احد,One
فرصة,an opportunity
الأولى,First
تباً,Damn
يرام,Okay
عليكِ,upon you
يكفي,It is enough
علاقة,relationship
صغيرة,small
الأقل,least
لأنك,Because you
غريب,strange
لنذهب,Let's go
المدرسة,the school
ــ,-
الصباح,the morning
أفهم,I understand
حين,when
صديقي,my friend
سأذهب,I will go
أنكِ,You are
تأتي,come
الخاصة,Private
أخبرني,Tell me
تقوم,You do
نستطيع,We can
نفسه,same
التى,that
الأطفال,children
حالة,condition
لى,for me
هى,she
يستطيع,can
يجري,Running
سنة,year
نفعل,We do
أتعلم,I learn
نهاية,end
أفكر,I think
أود,I would like
عشر,ten
شىء,something
أقوم,I do
الحب,love
أنّه,that it
كنتِ,I was
معاً,together
أى,any
انني,I am
لديهم,They have
جديدة,New
يعلم,He knows
قالت,She said
بدأت,It started
الأول,the first
دقائق,minutes
عني,About me
سيدة,Mrs.
حالك,How are you?
إنني,I am
عزيزي,my dear
رجال,men
نعرف,We know
الجنس,Sex
؛,;
رؤية,vision
ينبغي,should
الي,to
حصل,It happened
معنا,With us
الطفل,The child
وليس,And not
كي,in order to
تحتاج,You need
قليلا,a little
حياة,life
اسمع,Listen
الساعة,the hour
أكبر,greater
اليس,Isn't it?
فهمت,Understood
عنها,About her
أريدك,I want you
رجاءً,please
تفعله,You do it
وماذا,What?
ظننت,I thought
سيدتي,my lady
البعض,Some
الصغير,The little one
تعني,It means
إنّها,that it
البيت,the house
رأيك,Your opinion
تكوني,Be
هُنا,here
والدك,Your father
مهما,whatever
العودة,Back
تماما,completely
لطيف,Nice
يقوم,He does
السجن,the prison
الليل,the night
السيدة,Mrs.
أخي,my brother
بأنني,That I
طويلة,long
والدي,my father
وهي,And it is
حان,It's time
أقل,less
الهاتف,Phone
عبر,via
مهلا,Hey
ترجمة,translation
نحتاج,We need
أيتها,Oh
وما,gesticulate
اكثر,more
أتحدث,I speak
أيام,days
أحدهم,One of them
أولاً,Firstly
الماضي,the past
أحبك,I love you
الطعام,food
البقاء,stay
معرفة,knowledge
العام,The year
أية,any
ل,to
أصبح,become
ذات,Self
الجديد,New
مِنْ,from
لكنك,But you
أبدا,never
وضع,situation
ً,ً
سيئة,Bad
طفل,child
فوق,above
حياتك,Your life
داخل,inside
وكان,And it was
نكون,We are
خطأ,mistake
سام,Sam
ونحن,And we
منزل,house
تشعر,You feel
عليهم,On them
المفترض,supposed
نتحدث,We are talking
طويل,long
نصف,half
فريق,a team
أخذ,take
الماء,water
لاحقاً,Later
حق,right
يأتي,Comes
صديق,friend
غداً,tomorrow
سأفعل,I will
منا,From us
الصغيرة,small
نريد,We want
وانا,And me
للمنزل,For home
ايضا,also
آه,Yes
خذ,Take
جزء,part
لكنها,But it is
جو,atmosphere
أشياء,things
كلمة,word
تفعلين,You do
أعمل,Work
يمكنه,He can
الآخر,The other
تحاول,trying
هَلْ,Do
صغير,small
لستُ,I am not
بخصوص,regarding
أخبرك,I told you
الحال,The situation
بأي,By any means
نظرة,look
لأجل,For
الخروج,Exit
تظن,You think
النوم,sleep
الماضية,past
دكتور,doctor
المرأة,woman
انظري,Look
بد,Bad
لمدة,For a period of
وجود,presence
الحرب,war
ذا,The
تقلق,worry
بلا,without
عرفت,I knew
ثلاث,three
هلا,Do
أدري,I know
اللعين,The damned one
ذهب,gold
الا,unless
المشكلة,The problem
الأسبوع,week
الوحيدة,The only one
كله,entire
تعالي,Come here
مايكل,Michael
إنك,You are
كلاّ,both
حاولت,I tried
أهلاً,Hello
دعونا,Let's
اخرى,Other
أنّك,That you are
وشك,Doubt
فعلاً,actually
وسوف,And will
عائلة,family
افعل,Do
عدم,non
أخبرتك,I told you
كثيرا,a lot
سيدى,my lord
رئيس,president
فأنا,So I am
الغرفة,The room
وحسب,According to
المساعدة,Help
الخارج,outside
بعيداً,away
أعطني,Give me
اذن,permission
سيء,bad
العديد,Many
أصبحت,I became
الطبيب,The doctor
رسالة,message
خمسة,five
كَانَ,He was
يذهب,He goes
العشاء,dinner
الفتيات,girls
النساء,women
ضد,against
تحصل,You get
نقوم,We do
جيدا,well
يهم,It matters
بهم,With them
الموضوع,the topic
وفي,And in
الممكن,Possible
اخر,last
الفتى,The boy
مباشرة,directly
بالأمر,By order
أتذكر,I remember
بيت,house
مايك,Mike
لأني,Because I
بطريقة,In a way
ساعات,hours
حينما,When
فترة,a period
الأشخاص,People
نيويورك,New York
أراك,I see you
أنتي,female
شكرًا,Thanks
اسم,name
قصة,story
توجد,There is
القادمة,Coming soon
امرأة,woman
فتى,boy
أَنا,I
افضل,better
حقيقي,TRUE
بواسطة,by
مجنون,crazy
زوجتي,my wife
أهذا,Is this it?
متأكدة,Sure
ذاهب,Going
يحصل,gets
تحب,love
أتعرف,Do you know?
النهاية,the end
مكتب,office
ولن,And will not
مثلك,like you
اننا,We are
بالخارج,outside
لهذه,For this
الحق,Right
بلى,indeed
أصدق,The most honest
أخر,last
آمل,hope
اه,Yes
أنْ,that
الإطلاق,Launch
فرانك,Frank
طلب,to request
بدأ,It started
لعبة,game
مرحبًا,Welcome
جورج,George
قريباً,almost
اني,that I
مجموعة,group
أمام,before
الحديث,Hadith
جي,G
مساعدتك,Help you
حاول,Try
شخصاً,person
حقيقة,fact
جميعا,All of them
اللقاء,The meeting
وبعد,And after
مدى,bezel
صورة,image
بأنها,That it is
سوى,but
التفكير,thinking
الملك,the king
الأخيرة,The last
الثانية,Second
فهو,He is
مِن,from
تحدث,to speak
فيما,While
الوضع,the situation
عدد,number
حفلة,a party
ولكني,But I
لسنا,We are not
تبقى,remain
بشيء,With something
مدينة,city
كهذا,Like this
كلها,All of them
انتهى,I finish
كُلّ,all
يحاول,trying
نحو,about
أشهر,months
مثير,arousing
شركة,a company
تفهم,understand
اسف,Sorry
الجديدة,New
لكل,per
أصدقاء,friends
النوع,Type
الجيد,good
اى,any
إليها,To her
بأني,That I
ميت,dead
بيننا,Between us
الرب,Lord
عملية,practical
ذو,Dhu
بيتر,Peter
بعضنا,Some of us
القضية,The case
وكل,And all
أحضر,bring
قيد,shackle
تشارلي,Charlie
أخرج,Get out
قادم,coming
الواضح,The obvious
دعيني,Let me
تفضل,Help yourself
توم,Tom
أتيت,I came
أيضًا,also
أسمع,Listen
تأخذ,take
قول,say
العائلة,Family
بنفسك,yourself
موعد,an appointment
عندي,I have
أثناء,during
ممكن,maybe
تخبرني,tell me
إذًا,if
الكبير,The big one
صاح,shouted
إنتظر,I am waiting
الزواج,marriage
فعلته,I did it
بكِ,With you
ولكنه,But it is
حبيبتي,My dear
تذكر,to remember
أمك,Your mother
مستحيل,impossible
اعتقدت,I believed
مليون,million
إليّ,to
علم,science
قل,Say
طلبت,I asked
ربّما,maybe
ذاك,that
حسن,Hassan
الأخرى,Other
يحتاج,Needs
تعود,Come back
الهي,divine
زلت,I slipped
نسيت,I forgot
وصلت,It arrived
انتظري,Wait
نعلم,We know
أنّي,that I
النظر,look
إذهب,Go
أتريد,Do you want?
عدة,several
سيحدث,It will happen
ابن,son
لديكِ,You have
الصعب,difficult
تقريباً,almost
الحظ,luck
ألف,one thousand
مساعدة,help
تصبح,become
سأقوم,I will
جين,Gene
جئت,I came
خلف,behind
خمس,five
د,D
الحقيقي,The real one
منكم,From you
دي,This
يمكنكِ,You could
أربعة,four
القليل,little
يزال,Still
الدم,blood
إننا,We are
أسرع,faster
البداية,the beginning
سأعود,I will be back
صعب,difficult
بعيدا,away
كن,Be
عرض,an offer
بكثير,Much
وعندما,And when
اسمه,His name
تفكر,Thinking
آنسة,Ms
تعتقدين,You think
فقدت,I lost
مهم,important
يتحدث,He speaks
بتلك,With that
لأي,For any
بعدها,After that
يريدون,They want
يوماً,One day
يعود,Returns
جاء,came
هُناك,there
أتعلمين,Do you know?
ترك,to leave
المناسب,appropriate
السؤال,The question
اكون,I am
الآخرين,others
تقصد,You mean
اتصل,Call
تبدين,You look
للعمل,For work
معهم,With them
التالي,the next
شرطة,police
قط,cat
جريمة,crime
أبحث,I am searching
توقفي,Stop
بنفسي,By myself
الشمس,The sun
فكرت,I thought
يفترض,It is assumed
السماء,the sky
الوصول,Access
الجانب,side
أحصل,I get
عشرة,ten
معا,together
الداخل,Inside
أعود,I come back
المعلومات,Information
تحمل,to bear
حَسناً,Good
أطفال,children
الثاني,the second
جيّد,good
هذة,This is amazing
ببعض,Some
يارجل,Oh man
ماري,Mary
بكم,with you
وداعاً,Farewell
يعد,It is considered
الأيام,days
أسوأ,worst
مشاكل,problems
البحث,Search
ستفعل,You will
اسمي,my name
واضح,clear
جهاز,device
حتّى,until
أيّها,Hey
الدخول,Login
الحلقة,The episode
قتلت,killed
مستعد,ready
يقولون,They say
سؤال,a question
ايضاً,also
لأنها,Because it is
فعلا,actually
بضعة,a few
نوعاً,Kind of
عما,About what
أمس,yesterday
بول,pee
الجزء,Part
اقول,I say
اللحظة,The moment
القديمة,old
لويس,Louis
مَن,from
كرة,ball
المخدرات,drugs
محق,Right
ستة,six
بيل,Bill
وهذه,And this
المستشفى,hospital
صوت,voice
نرى,We see
الكلام,Speech
رجاء,please
سنذهب,We will go
وانت,And you
قضية,issue
كامل,complete
أكره,I hate
الجريمة,crime
مختلف,various
خاصة,especially
اتفقنا,We agreed
أخذت,I took
انتي,female
خطر,risk
قطعة,piece
يمكننى,I can
رائعاً,Wonderful
طالما,as long as
زال,It disappeared
أحياناً,sometimes
أأنت,Are you?
مقابل,Opposite
ماكس,Max
قم,Get up
عليكم,Upon you
مركز,center
بإمكاني,I can
وأن,and that
الدكتور,Dr.
القائد,The leader
بأننا,That we
المنطقة,The area
يُمْكِنُ,maybe
الخطأ,error
أطلب,I ask
انتِ,You
تعيش,Live
الاشياء,things
لفترة,for a while
زوجتك,Your wife
يحب,loves
المعذرة,Excuse me
عالم,world
طبيب,doctor
الفريق,team
الصورة,The picture
نفسها,itself
لكننا,But we
الاتصال,Contact
حيال,About
والذي,Which
جيمي,Jimmy
مفهوم,concept
وبعدها,And then
فلا,No
بأنّ,That
مختلفة,different
جدًا,very
ب,for
شعرت,I felt
حقًا,truly
الشارع,The street
بإمكانك,You can
غدا,tomorrow
مضحك,funny
الطائرة,The plane
بوب,Bob
فعلها,He did it
ينتهي,Ends
ولكنني,But I
منتصف,Mid
القانون,the law
رأيته,I saw him
هنري,Henry
أنتظر,I am waiting
الهواء,air
بعمل,I work
الكتاب,The book
قسم,to divide
سنكون,We will be
فيلم,film
أهتم,I care
موجود,existing
بشدة,strongly
القتل,murder
ممتاز,excellent
العثور,Find
مرات,times
يَجِبُ,He should
كثير,a lot
ابني,my son
لطيفة,Nice
أقسم,I swear
الشعور,feeling
وجه,face
وإذا,And if
أولئك,Those
إني,that I
أجد,I find
معكِ,with you
حوالي,about
ثانيةً,second
قليل,a little
أحداً,anyone
حاجة,need
لمْ,did not
يعيش,He lives
أخيراً,finally
إعادة,re
أنتما,you
حالاً,immediately
دليل,guide
إنّي,that I
فإن,Then
السنة,Year
مازال,Still
القاتل,killer
ولقد,And I have
ميلاد,birthday
شهر,month
تعلمون,You know
السيطرة,control
قوة,power
رحلة,a trip
ستعمل,It will work
أسفل,lowest
يعتقد,Believes
زوجي,my husband
علمت,I learned
عملي,practical
القادم,Next
وهل,And is it?
تزال,Still
العرض,the offer
الصحيح,Correct
أحمق,foolish
القصة,The story
هراء,prattle
مساء,evening
تركت,I left
يموت,He dies
أنظري,Look
جاهز,ready
المكتب,Office
تفعلي,Do it
اخرج,Get out
محاولة,attempt
الصور,the pictures
عدت,I came back
اللعبة,The game
عاد,He came back
ترغب,You wish
وكيف,How?
اسمك,your name
الوغد,villain
داني,Danny
تبحث,Looking for
اسمعي,Listen
ولكنك,But you
خطة,plan
سارة,pleasant
أننى,I am
وراء,behind
السفينة,The ship
قائمة,existing
وضعت,I put
ابي,my dad
حقيقية,Real
تنظر,Look
بأنّك,That you
تود,Tod
موقع,location
بالكامل,Fully
مهمة,a task
ابدا,never
ثمّ,then
أطلق,Launch
شباب,youths
البلدة,The town
القهوة,coffee
أسف,Sorry
المحتمل,likely
حينها,then
أرغب,I want
راي,opinion
مره,time
تخرج,graduation
مازلت,I am still
تستطيعين,You can
معلومات,information
اشعر,I feel
أعد,I prepared
انظروا,Look
شيئًا,something
كوني,Be
الفرصة,opportunity
ماهو,What is it
قلبي,my heart
الخط,The line
إنّ,that
الشئ,The thing
تبا,Damn
صديقك,Your friend
نيك,Nick
مجددا,again
تجد,Find
قاتل,killer
نجد,Najd
إيجاد,Find
يجعل,makes
يصبح,becomes
نقطة,a point
البشر,Humans
نظام,system
تبدأ,It begins
تملك,Own
أملك,I own
ضع,Put
تمت,Done
سي,bad
مضى,gone
أعرفه,I know him
أخبر,Tell
البحر,the sea
رؤيتك,Your vision
امي,My mom
رأسك,Your head
الأخبار,News
أما,But
يستحق,He deserves
العميل,Client
المحكمة,The court
هـذا,This
دعينا,Let's
أنّها,that it
تقلقي,Worry
تغيير,changing
الأرجح,Most likely
بالداخل,Inside
عدا,Except
منزلي,my house
القديم,old
خائفة,scared
كثيرة,Many
للحصول,To get
قامت,She did
شي,something
إطلاق,release
المشاكل,problems
كلنا,All of us
حتي,until
خيار,option
جيمس,James
بماذا,with what
أنـا,I am
عندها,Then
كلما,whenever
تحرك,move
أجلك,Your term
الغد,tomorrow
ماتت,She died
يتعلق,Related
غبي,stupid
اذاً,if
سيّدي,my lord
أخبار,news
عائلتي,my family
القلب,the heart
بعيد,far
جعل,make
الحالة,the condition
إمرأة,woman
أستطع,I could
الموسيقى,Music
أعلى,higher
سبق,preceded
إلينا,To us
كلّا,both
ارجوك,Please
القيادة,Leadership
لأننا,Because we
الشركة,The company
العيش,Living
البارحة,yesterday
القوة,power
يجدر,It is worth
منطقة,region
يمكنها,She can
بالكاد,barely
خاص,private
وظيفة,job
اثنان,two
معنى,meaning
الطابق,floor
العاهرة,prostitute
القول,The saying
تحدثت,I spoke
حد,end
الميلاد,Birth
عملك,Your work
النقود,money
قريب,close
أولا,Firstly
فلن,You will not
رجلاً,man
عندك,you have
وكنت,And I was
قلته,I said it
ال,the
الأحمق,idiot
أتى,came
ام,or
جيم,Jim
حياته,His life
الكبيرة,The big one
السابقة,Previous
صاحب,owner
الملابس,clothes
يبدوا,It seems
وقال,He said
للأبد,forever
بنفس,In the same way
أشخاص,people
وإلا,Otherwise
الأمن,Security
خائف,scared
الأكثر,Most
السابق,the previous
أفعله,I do it
أخشى,I fear
السلاح,Weapon
تموت,die
ولكنها,But it is
سنفعل,We will
لبعض,For some
وهم,delusion
الدماء,blood
اثنين,two
لكَ,for you
أعدك,I promise you
حفل,party
وقتاً,time
تريده,You want it
أسابيع,Weeks
يكونوا,They are
الجيش,Army
زوجة,wife
فهذا,This is
أخبرتني,She told me
أعتذر,I apologize
ديفيد,David
كلانا,Both of us
سنقوم,We will
واحداً,One
برنامج,program
فأنت,You are
المتحدة,United
سلاح,weapon
اللعينة,damn
صندوق,fund
يديك,Your hands
الكلب,dog
لطالما,As long as
ابتعد,Go away
الحمام,the bathroom
الغير,Other
بني,brown
أمريكا,America
الهدف,the goal
ولد,child
الأخير,The last
وجدنا,We found
انتم,you all
سخيف,silly
لمن,for whom
احب,I love
قطع,to cut
ثمة,There is
بجانب,next to
احتاج,I need
تقريبا,almost
الامور,Things
قدم,foot
قوية,strong
عاماً,years
اظن,I think
الحفلة,The party
نبدأ,We begin
غريبة,Strange
فهم,to understand
وذلك,And that
اعني,namely
أراد,wanted
ظهر,back
سماع,Hearing
الكفاية,Sufficiency
الثالث,the third
تناول,Eat
التعامل,Dealing
الانتظار,waiting
دور,role
هدية,gift
هاه,Huh?
كتاب,book
معى,with me
تقل,Decrease
رائحة,scent
معظم,most
الفيلم,The movie
حبيبي,my dear
سأتصل,I will call
بيلي,Billy
مكانك,Your place
نعمل,We work
لوس,Los
الصوت,Sound
المياه,water
والتي,Which
مثلي,gay
أذا,if
شعور,feelings
الخلف,Back
عادة,usually
قريبا,almost
ألن,Why not?
ابنتي,my daughter
كُنت,I was
أنكم,You are
المستقبل,the future
ويل,Woe
ميل,tendency
خرجت,I went out
إثنان,two
وجهي,My face
الهراء,nonsense
رغم,despite
فجأة,suddenly
مثيرة,arousing
الإتصال,Contact
أيمكنك,Can you?
منكِ,From you
والدتك,Your mother
أختي,my sister
ليسوا,They are not
الجميلة,beautiful
المبنى,The building
بأنّه,That he
النظام,order
لديكم,You have
ِ,ِ
بقدر,As much as
هاري,Harry
نبحث,We are searching
تصل,Arrive
بدلاً,Instead
كنتَ,I was
درجة,degree
الرغم,Although
لَيسَ,not
بالمناسبة,By the way
طريقي,My way
قادمة,Coming
مرّة,time
آل,the
السرير,bed
وجهك,your face
أمراً,An order
لكنّي,But I
وإن,and that
السيارات,Cars
المهمة,Mission
بالله,By Allah
أهلا,Hello
اذهبي,Go
أتصل,Call
زوجته,His wife
القبض,Arrest
مريض,sick
بلدي,My country
مـن,From
أخبريني,Tell me
لاحقا,Later
الشاب,young man
العجوز,The old man
نعود,We come back
سيّد,sir
الأب,father
مذهل,amazing
عملت,I worked
مايرام,Okay
مارك,Mark
وأنتِ,And you
أحضرت,I brought
وصل,receipt
ولو,Even if
الكرة,The ball
يصل,It arrives
موجودة,present
نحصل,We get
الثالثة,Third
أياً,Anyway
اللعب,play
لكى,in order to
المسيح,Jesus
استخدام,Use
نحنُ,we
يفعله,He does it
محقة,Right
فهي,It is
تتذكر,Remember
ارى,Show
يملك,Owns
نخرج,We go out
تظهر,Show
تعد,It is considered
تجعل,Make
الطاقة,Energy
أريده,I want it
تتحدثين,You are talking
أشكرك,I thank you
أترى,Do you see?
للذهاب,to go
واثق,Confident
هاي,Hi
مجنونة,crazy
جانب,side
القتال,fighting
القاضي,judge
المحقق,The investigator
بطاقة,card
متأخر,late
شعر,hair
ماهذا,What is this
يظهر,He appears
مال,money
ساعدني,Help me
العملية,The process
هاتف,phone
الأم,the mom
يخرج,He goes out
كلارك,Clark
الموسم,season
يأخذ,takes
يعرفون,They know
فعلتها,I did it
وهناك,And there
الظلام,darkness
الرقص,dance
لرؤية,To see
الولايات,States
مدرسة,school
نحاول,We are trying
كيفية,How to
تمزح,Just kidding
أسبوع,week
تقولين,You say
دفع,to push
قمنا,We did
يجعلك,Makes you
بداية,beginning
يهتم,cares
الغداء,the lunch
لندن,London
طعام,food
كاملة,Complete
وربما,And maybe
مزيد,More
شون,Sean
إحدى,One of
المدير,the boss
ريتشارد,Richard
لربما,Maybe
لنفسك,For yourself
ستيف,Steve
سيتم,It will be
بى,with me
تتحرك,moving
الحيوانات,animals
بيتي,My home
أتفهم,I understand
إنهُ,that it
وسط,middle
قلب,heart
ملابس,clothes
الفندق,hotel
كريس,Chris
أرجوكِ,Please
الضوء,light
اللعنه,the curse
حسب,According to
الرسالة,message
لان,because
الحكومة,the government
صديقة,girlfriend
كلب,dog
تَعْرفُ,to get to know
قررت,I decided
مستعدة,Ready
الأعلى,The highest
حل,solution
يدك,Your hand
المهم,the important
جزيلاً,Thank you very much
إسمع,Listen
منّي,Mona
الخطة,the plan
رأس,head
إنّك,You are
وصلنا,We have arrived
أقوله,I say it
آمن,security
شخصية,a personality
اتصلت,I called
سمحت,Allowed
جنون,madness
يشعر,feel
الشيطان,Satan
يبقى,It remains
حرب,war
الأسئلة,Questions
تهتم,care
بيني,Benny
أجلي,I postpone
تتكلم,You speak
تشعرين,You feel
دوماً,Always
كنتم,You were
ومع,And with
روبرت,Robert
سأقول,I will say
الشعر,the hair
تي,T
اننى,I am
تغير,change
قوله,His saying
واحده,one
أيمكنني,Can I?
اليك,Here you go
الأعمال,Business
أصدقائي,my friends
يدي,My hand
يمكنهم,They can
مثلما,as
كـ,As
حصلنا,We got it
حب,love
بان,Ban
بوسعي,I can
بمجرد,Once
معكم,With you
أَعْرفُ,I know
الرقم,The number
طيب,good
رأسي,vertical
لحم,meat
أعيش,I live
الغابة,the forest
جاد,serious
.لا,.no
سان,San
تومي,Tommy
تسمع,You hear
الآنسة,Miss
أليكس,Alex
أراهن,I bet
مسألة,issue
القطار,train
أحسنت,I did well
التلفاز,television
أرسل,Send
بسيط,basic
ملك,king
ولماذا,Why?
شرطي,policeman
السلامة,Safety
جميعنا,All of us
صور,photo
يدعى,It is called
عظيمة,Great
العمر,the age
البلاد,The country
اردت,I wanted
سرقة,theft
حماية,protection
سكوت,Scott
اليه,To him
تقوله,You say it
جاي,Jay
تريدني,You want me
خدمة,service
ابداً,never
للبيت,For home
سأخبرك,I will tell you
سو,So
أتعرفين,Do you know?
قوي,strong
عد,counting
خاطئ,wrong
وعلى,And on
معذرة,Sorry
فتيات,girls
عذراً,Sorry
رباه,Oh my God
دماء,blood
تتوقف,Stop
اللحم,meat
القدم,foot
إنتهى,I finish
قلق,anxiety
قالوا,They said
أبدو,I look
بالعمل,By work
تاريخ,date
اجلس,Sit
الضحية,The victim
باريس,Paris
فكر,to think
الأبيض,white
تنتهي,Ends
لنرى,Let's see
مؤخراً,recently
